Mirbud SA,1.02,0,1.01,1,1.02,9598,9636,2018-12-11 09:21
ML System SA,27.3,0,27.3,27.3,27.3,150,4095,2018-12-11 09:00
MLP Group SA,44,0,44,44,44,1,44,2018-12-11 09:11
Mo-Bruk SA,44.6,0,0,0,0,0,0,2018-12-10
MOJ SA,0.63,1.61,0.62,0.62,0.63,13000,8181,2018-12-11 09:23
MOL Rt.,40.56,0,0,0,0,0,0,2018-12-10
Monnari Trade SA,4.69,0,4.69,4.69,4.69,1762,8264,2018-12-11 09:00
Mostostal Płock SA,2.96,3.86,2.98,2.96,2.98,466,1379,2018-12-11 09:00
Mostostal Warszawa SA,2.2,2.33,2.2,2.2,2.2,400,880,2018-12-11 09:20
Mostostal Zabrze SA,0.24,0,0,0,0,0,0,2018-12-10
Muza SA,2.76,0,0,0,0,0,0,2018-12-10
MW Trade SA,2.82,-2.08,2.84,2.82,2.84,2780,7842,2018-12-11 09:19
MZN Property SA,1.2,0,1.2,1.2,1.2,1,1,2018-12-11 09:00
NanoGroup SA,2.8,0,0,0,0,0,0,2018-12-10
Netia SA,4.65,0,0,0,0,0,0,2018-12-10
Netmedia SA,10,0,0,0,0,0,0,2018-12-10
Neuca SA,249.5,1.42,249.5,249.5,249.5,1,250,2018-12-11 09:00
New World Resources Plc,0.02,0,0,0,0,0,0,2018-12-10
Newag SA,14.95,1.36,14.9,14.9,14.95,76,1132,2018-12-11 09:11
North Coast SA,4.51,0,0,0,0,0,0,2018-12-10
Novaturas AB,33.5,0,0,0,0,0,0,2018-12-10
Novita SA,41.5,0,0,0,0,0,0,2018-12-10
NTT System SA,2.47,1.65,2.47,2.47,2.47,1,2,2018-12-11 09:11
Octava SA,0.84,0,0,0,0,0,0,2018-12-10
Odlewnie Polskie SA,2.96,-0.67,2.96,2.96,2.96,1000,2960,2018-12-11 09:13
OEX SA,16.3,0,0,0,0,0,0,2018-12-10
OncoArendi Therapeutics SA,18.5,-2.63,18.5,18.5,18.5,129,2387,2018-12-11 09:00
Open Finance SA,0.21,0,0.21,0.21,0.21,1711,359,2018-12-11 09:04
Oponeo.pl SA,23.9,2.14,23.9,23.9,23.9,452,10803,2018-12-11 09:11
OPTeam SA,5,0,5,5,5,4505,22525,2018-12-11 09:18
Orange Polska SA,4.81,0.84,4.81,4.8,4.82,26718,128580,2018-12-11 09:28
Orbis SA,93.6,0.43,93.6,93.6,93.6,125,11700,2018-12-11 09:15
Orco Property Group SA,1.6,0,0,0,0,0,0,2018-12-10
Orion Investment SA,7.75,0,7.75,7.75,7.75,1,8,2018-12-11 09:16
Orzeł Biały SA,10.8,1.89,10.85,10.55,10.85,50,539,2018-12-11 09:22
OT Logistics SA,4.68,-1.27,5.2,4.68,5.2,1001,4685,2018-12-11 09:19
Ovostar Union NV,110,0,0,0,0,0,0,2018-12-10
PA Nova SA,15.3,0,0,0,0,0,0,2018-12-10
Pamapol SA,1.06,0,0,0,0,0,0,2018-12-10
Patentus SA,0.89,0,0,0,0,0,0,2018-12-10
PBG SA,0.1,0,0,0,0,0,0,2018-12-10
PBS Finanse SA,0.26,0,0,0,0,0,0,2018-12-10
PC Guard SA,1.17,0,0,0,0,0,0,2018-12-10
PCC Exol SA,1.55,0,1.55,1.55,1.55,22,34,2018-12-11 09:18
PCC Rokita SA,83.4,0.24,83.6,83.4,83.6,116,9694,2018-12-11 09:22
Peixin International Group NV,0.9,0,0,0,0,0,0,2018-12-10
Pekabex SA,12.5,-2.34,12.8,12.5,12.8,965,12142,2018-12-11 09:06
Pepees SA,1.25,0,1.25,1.25,1.25,1,1,2018-12-11 09:00
